序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的年级	2、在高二年级时，学习的ap课程门数（在培训机构学习的也算）	3、在本学年，学习的ap课程门数（在培训机构学习的也算）	4、在您学习的AP课程中，您的5分科目数量占比？	5、在您学习的AP课程中，您的4分科目数量占比？	6、截止目前，您的全科GPA为_______（答案将仅用作数据分析）	7、本学年，你ap科目的平均GPA在以下的哪个区间？	8、在本学期，你的期中数学卷面成绩为	9、标题你认为GPA偏低的原因是（可多选）	10、你认为GPA偏高的原因是（可多选）	11、学校所有科目的作业量大概需要你几个小时完成？	"12、平均来讲, 您过去一年, 作业的完成量占作业总量的比例是?"	"13、平均来讲, 您过去一年, 您AP科目作业的完成量占总量的比例百分数是?"	14、你平时作业的正确率如何？	15、你数学学科的平时作业的正确率如何？	16、平均来讲，您过去一年，每周与同学讨论完成作业的次数大约为？	"17、您认为小组讨论对完成作业有帮助大吗？
"	18、您对作业的看法是	19、您会将作业平均到每天完成，还是在截止日期前一天完成？	20、如果作业太多，您会	21、你认为现在的工作量	22、对于您是否可以完成作业，您认为：—我可以在作业截止前完成作业	22、我可以以高质量（正确率>85%或分数>A）完成作业	23、有关作业质量，您认为：—我能保质保量的完成作业	23、我有过不经思考“复制”别人的作业	24、有关AP课程布置的作业，您认为：—我能保质保量的完成AP作业	24、大部分情况下，我能独立完成AP作业	24、我能够每天及时地完成老师布置的AP作业	24、我会因为AP老师作业布置的数量大于心理预期从而糊弄作业	24、在做作业实在没有思路时，我会不经思考地抄写其他同学的答案	24、AP作业的质量可以直接体现出未来AP成绩好坏	24、AP成绩越好的人，平时作业完成率越高	24、不经思考地抄作业这一行为影响了我的学习成绩	24、我认为AP作业对AP成绩没有直接或太大的影响，我通过其他学习方式也获得了好成绩	24、做作业是提升学生对知识领悟最有效的方式	24、完成AP作业使我将知识点掌握得更加牢固	总分
5	2022/5/20 20:49:53	128秒	微信	N/A	111.194.134.228(北京-北京)	高三年级	0-2门	0-2门	20%-40%	60%-80%	3.63	3.4-3.8	0-50分	(跳过)	选课门数少，每科可以分配更多精力	2-3小时	40-60％	60- 80％	60%~80%	90%-100%	大于15次	有很大帮助	完全不在意	在截止日期前一天完成	不写了&都蒙上	过多	非常不同意	非常不同意	不同意	非常同意	一般	一般	不同意	非常同意	同意	非常不同意	非常不同意	非常不同意	非常同意	非常不同意	非常不同意	22
6	2022/5/20 20:53:42	387秒	微信	N/A	115.171.166.165(北京-北京)	高三年级	0-2门	0-2门	80%-100%	0%-20%	3.91	3.8-4.0	90-100分	(跳过)	选课门数少，每科可以分配更多精力┋对选课有兴趣，学习劲头强	3小时以上	80-100％	80-100％	80%~100%	80%-90%	5次-10次	有帮助	非常重要	在截止日期前一天完成	跟老师商量	正常	非常同意	非常同意	非常同意	非常不同意	非常同意	非常同意	同意	不同意	非常不同意	同意	同意	非常不同意	一般	同意	非常同意	64
7	2022/5/20 20:54:32	190秒	微信	N/A	221.223.197.11(北京-北京)	高三年级	3-4门	0-2门	60%-80%	0%-20%	3.89	3.8-4.0	75-85分	(跳过)	外界因素迫使我努力学习	3小时以上	80-100％	80-100％	60%~80%	70%-80%	5次-10次	有帮助	非常重要	平均分到每天完成	跟同学合作	较少	非常同意	同意	同意	一般	非常同意	同意	同意	不同意	一般	同意	同意	一般	不同意	同意	同意	59
8	2022/5/20 20:54:40	455秒	微信	N/A	1.203.116.229(北京-北京)	高二年级	大于4门	(跳过)	(跳过)	(跳过)	3.98	3.8-4.0	90-100分	(跳过)	对选课有兴趣，学习劲头强┋其他（须注明）〖教师给分较为宽松〗	1-2小时	80-100％	80-100％	80%~100%	90%-100%	我独立完成作业	有一点帮助	有一些重要	平均分到每天完成	跟老师商量	较多	非常同意	非常同意	非常同意	非常不同意	非常同意	非常同意	非常同意	非常不同意	非常不同意	非常同意	非常同意	非常同意	不同意	同意	非常同意	73
9	2022/5/20 21:01:38	250秒	微信	N/A	123.122.95.178(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.90	3.8-4.0	85-90分	(跳过)	对选课有兴趣，学习劲头强	1-2小时	80-100％	80-100％	80%~100%	90%-100%	小于5次	有一点帮助	有一些重要	平均分到每天完成	跟老师商量	正常	非常同意	非常同意	非常同意	非常不同意	非常同意	非常同意	非常同意	不同意	非常不同意	一般	非常同意	一般	一般	同意	同意	66
10	2022/5/20 21:18:58	252秒	微信	N/A	111.194.189.85(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.99	3.8-4.0	85-90分	(跳过)	作业量适中（少）┋对选课有兴趣，学习劲头强┋外界因素迫使我努力学习	1-2小时	80-100％	80-100％	80%~100%	80%-90%	我独立完成作业	有一点帮助	非常重要	平均分到每天完成	硬着头皮认真做	较少	非常同意	非常同意	非常同意	非常不同意	非常同意	非常同意	非常同意	非常不同意	非常不同意	同意	非常同意	同意	不同意	同意	非常同意	71
11	2022/5/20 21:24:23	78秒	微信	N/A	1.91.248.8(北京-北京)	高二年级	0-2门	(跳过)	(跳过)	(跳过)	3.87	3.8-4.0	75-85分	(跳过)	其他（须注明）〖太简单了没办法〗	小于1小时	20-40％	0-20％	80%~100%	70%-80%	小于5次	有帮助	有一些重要	在截止日期前一天完成	不写了&都蒙上	较少	非常同意	非常同意	同意	一般	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	非常同意	一般	非常同意	非常同意	62
12	2022/5/20 21:29:39	175秒	链接	直接访问	123.118.65.228(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	期中还挺高的，3.95我得发出来装一手，但平均可能3.9出头吧	3.8-4.0	50-65分	(跳过)	作业量适中（少）┋对选课有兴趣，学习劲头强	1-2小时	80-100％	80-100％	60%~80%	80%-90%	大于15次	有很大帮助	有一点用	平均分到每天完成	不写了&都蒙上	较多	非常同意	同意	同意	非常同意	非常同意	非常同意	非常同意	一般	同意	非常不同意	不同意	不同意	一般	不同意	同意	48
13	2022/5/20 21:49:48	140秒	微信	N/A	123.112.178.9(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.7	3.4-3.8	0-50分	(跳过)	外界因素迫使我努力学习	1-2小时	80-100％	60- 80％	60%~80%	60%-70%	大于15次	有一点帮助	非常重要	在截止日期前一天完成	硬着头皮认真做	较多	同意	一般	一般	一般	同意	同意	一般	同意	一般	一般	一般	同意	一般	一般	一般	48
14	2022/5/20 21:54:14	228秒	微信	N/A	123.112.178.9(北京-北京)	高二年级	3-4门	(跳过)	(跳过)	(跳过)	3.7	3.4-3.8	0-50分	(跳过)	外界因素迫使我努力学习	2-3小时	80-100％	80-100％	60%~80%	60%-70%	大于15次	有一点帮助	非常重要	在截止日期前一天完成	硬着头皮认真做	较多	同意	一般	一般	一般	同意	一般	一般	同意	一般	同意	一般	同意	一般	一般	一般	48
